url_path,views_total,views_unique
/ulfsri/firepydaq,15,2
/ulfsri/firepydaq/tree/firepydaq-stats/ulfsri/firepydaq/latest-report,13,1
/ulfsri/firepydaq/blob/firepydaq-stats/ulfsri/firepydaq/latest-report/report.pdf,11,1
/ulfsri/firepydaq/tree/firepydaq-stats/ulfsri/firepydaq,11,1
/ulfsri/firepydaq/commits/main,10,1
/ulfsri/firepydaq/tree/firepydaq-stats,5,1
/ulfsri/firepydaq/actions,3,1
/ulfsri/firepydaq/releases/tag/v0.1.0.post0,3,1
/ulfsri/firepydaq/actions/workflows/RunPytest.yml,2,1
/ulfsri/firepydaq/actions/workflows/SphinxDocs.yml,2,1
