url_path,views_total,views_unique
/ulfsri/firepydaq,22,4
/ulfsri/firepydaq/commits/main,10,1
/ulfsri/firepydaq/actions,9,1
/ulfsri/firepydaq/blob/firepydaq-stats/ulfsri/firepydaq/latest-report/report.pdf,7,1
/ulfsri/firepydaq/tree/firepydaq-stats/ulfsri/firepydaq,7,1
/ulfsri/firepydaq/tree/firepydaq-stats/ulfsri/firepydaq/latest-report,7,1
/ulfsri/firepydaq/issues,4,3
/ulfsri/firepydaq/actions/workflows/RunPytest.yml,3,1
/ulfsri/firepydaq/tree/firepydaq-stats,3,1
/ulfsri/firepydaq/actions/runs/10965009524,2,1
