url_path,views_total,views_unique
/ulfsri/firepydaq/tree/firepydaq-stats/ulfsri/firepydaq/latest-report,16,1
/ulfsri/firepydaq,15,4
/ulfsri/firepydaq/tree/firepydaq-stats/ulfsri/firepydaq,15,1
/ulfsri/firepydaq/blob/firepydaq-stats/ulfsri/firepydaq/latest-report/report.pdf,12,1
/ulfsri/firepydaq/tree/firepydaq-stats,7,1
/ulfsri/firepydaq/releases/tag/v0.1.0.post0,3,1
/ulfsri/firepydaq/blob/dev/docs/index.md,2,1
/ulfsri/firepydaq/blob/main/docs/assets/FIREpyDAQSetup.gif,2,1
/ulfsri/firepydaq/releases,2,1
/ulfsri/firepydaq/commit/da7f9887abafd01a27229608869aaf84af370b34,1,1
