url_path,views_total,views_unique
/ulfsri/firepydaq,17,3
/ulfsri/firepydaq/tree/firepydaq-stats/ulfsri/firepydaq/latest-report,16,1
/ulfsri/firepydaq/tree/firepydaq-stats/ulfsri/firepydaq,15,1
/ulfsri/firepydaq/blob/firepydaq-stats/ulfsri/firepydaq/latest-report/report.pdf,13,1
/ulfsri/firepydaq/tree/firepydaq-stats,7,1
/ulfsri/firepydaq/actions,3,1
/ulfsri/firepydaq/releases/tag/v0.1.0.post0,3,1
/ulfsri/firepydaq/actions/workflows/RunPytest.yml,2,1
/ulfsri/firepydaq/actions/workflows/SphinxDocs.yml,2,1
/ulfsri/firepydaq/blob/dev/docs/index.md,2,1
