url_path,views_total,views_unique
/ulfsri/firepydaq,30,5
/ulfsri/firepydaq/tree/firepydaq-stats/ulfsri/firepydaq,17,1
/ulfsri/firepydaq/tree/firepydaq-stats/ulfsri/firepydaq/latest-report,16,1
/ulfsri/firepydaq/blob/firepydaq-stats/ulfsri/firepydaq/latest-report/report.pdf,12,1
/ulfsri/firepydaq/tree/firepydaq-stats,9,1
/ulfsri/firepydaq/actions,6,1
/ulfsri/firepydaq/issues,5,2
/ulfsri/firepydaq/releases,5,1
/ulfsri/firepydaq/releases/tag/v0.1.0.post0,5,1
/ulfsri/firepydaq/tree/firepydaq-stats/firepydaq,4,1
